"customer","I_Superscalping","C_Superscalping","R_Superscalping","F_Superscalping","M_Superscalping","I_Scalping","C_Scalping","R_Scalping","F_Scalping","M_Scalping","I_Daytrade","C_Daytrade","R_Daytrade","F_Daytrade","M_Daytrade","I_Swing","C_Swing","R_Swing","F_Swing","M_Swing","I_Position","C_Position","R_Position","F_Position","M_Position","I_US_Open","C_US_Open","R_US_Open","F_US_Open","I_US_Close","C_US_Close","R_US_Close","F_US_Close","M_US_Close","I_Asia_Open","C_Asia_Open","R_Asia_Open","F_Asia_Open","I_Asia_Close","C_Asia_Close","R_Asia_Close","F_Asia_Close","M_Asia_Close","I_Europe_Open","C_Europe_Open","R_Europe_Open","F_Europe_Open","I_Europe_Close","C_Europe_Close","R_Europe_Close","F_Europe_Close","M_Europe_Close","I_majorcurrency","C_majorcurrency","R_majorcurrency","F_majorcurrency","M_majorcurrency","I_minorcurrency","C_minorcurrency","R_minorcurrency","F_minorcurrency","M_minorcurrency","C_trade","R_trade","F_trade","M_trade"
"B10",1,20,1,"14.143","-36.385",1,13,1,"1.357","-50.860",1,21,1,"8.393","-231.977",1,15,0,"2.036","-158.024",1,15,1,"4.179","96.831",1,13,1,"4.857",1,15,1,"4.857","-46.083",1,17,1,"6.750",1,20,1,"8.250","-43.057",1,19,1,"18.500",1,21,1,"17.000","-291.275",1,16,1,"2.000","103.965",1,22,1,"28.107","-484.380",22,1,"30.107","-380.416"
"B100",1,19,1,"1.714","11.779",1,3,1,"0.107","2.321",1,12,1,"0.929","12.493",1,5,3,"0.179","5.675",1,13,1,"1.357","67.582",1,2,2,"0.071",1,1,1,"0.036","3.734",1,21,1,"3.964",1,21,1,"3.821","86.047",1,7,1,"0.250",1,7,1,"0.429","10.068",1,4,0,"0.286","18.253",1,21,1,"4.000","81.597",21,1,"4.286","99.850"
"B10009",1,19,1,"3.071","-22.422",1,4,1,"0.143","-0.856",1,14,1,"1.321","-0.494",1,9,2,"0.536","17.376",1,11,1,"1.821","8.361",1,4,5,"0.179",1,4,3,"0.179","5.304",1,12,1,"2.179",1,12,0,"2.536","-13.618",1,18,1,"4.536",1,17,1,"4.179","10.279",1,14,1,"1.286","-22.172",1,21,1,"5.607","24.138",21,1,"6.893","1.966"
"B10036",1,10,1,"0.679","11.533",0,0,27,"0","0",1,8,0,"0.536","-44.610",1,2,2,"0.071","-1.587",1,7,1,"0.714","-28.292",1,1,19,"0.036",0,0,27,"0","0",1,11,1,"1.250",1,11,0,"1.429","-22.889",1,12,1,"0.714",1,8,1,"0.571","-40.067",1,3,0,"0.214","-18.509",1,11,1,"1.786","-44.447",13,1,"2.000","-62.956"
"B10038",1,16,2,"2.000","-0.171",1,1,11,"0.036","0.178",1,17,1,"1.286","-17.702",1,7,0,"0.357","-6.004",1,7,0,"1.036","-24.305",1,6,2,"0.321",1,3,2,"0.179","-5.847",1,17,2,"2.786",1,17,1,"3.214","-58.545",1,16,2,"1.607",1,12,7,"1.321","16.390",1,10,1,"1.000","-37.309",1,17,0,"3.714","-10.694",18,1,"4.714","-48.003"
"B10080",1,21,1,"6.643","-45.093",1,15,1,"0.893","0.601",1,20,1,"4.143","-10.637",1,13,0,"1.107","29.783",1,11,1,"2.250","48.627",1,12,3,"2.000",1,11,3,"1.786","3.622",1,21,1,"6.821",1,22,1,"8.429","22.243",1,21,1,"6.214",1,21,1,"4.821","-2.585",1,22,1,"8.929","6.506",1,22,1,"6.107","16.775",22,1,"15.036","23.280"
"B10082",1,18,1,"9.500","-9.327",1,2,7,"0.107","0.260",1,18,1,"6.036","-31.614",1,13,0,"2.036","-13.529",1,12,1,"2.500","38.311",1,16,1,"2.000",1,15,1,"2.250","-72.397",1,19,1,"8.429",1,19,1,"8.821","55.691",1,18,1,"9.750",1,18,1,"9.107","0.807",1,19,1,"6.214","57.433",1,19,1,"13.964","-73.332",19,1,"20.179","-15.899"
"B1010",1,11,3,"0.679","-10.049",1,1,14,"0.036","12.466",1,7,1,"0.286","0.251",1,2,3,"0.107","6.686",1,4,0,"0.500","35.600",1,1,14,"0.036",1,2,1,"0.071","14.718",1,14,2,"1.250",1,14,1,"1.357","36.363",1,8,2,"0.321",1,5,2,"0.179","-6.128",1,3,0,"0.214","16.522",1,16,1,"1.393","28.431",17,1,"1.607","44.953"
"B1012",1,22,1,"4.571","-10.383",1,8,1,"0.571","-3.268",1,21,1,"2.643","6.689",1,13,1,"0.893","-4.535",1,13,1,"1.679","72.775",1,1,14,"0.036",1,5,1,"0.250","8.113",1,22,1,"8.893",1,23,1,"8.500","26.972",1,16,1,"1.429",1,19,1,"1.607","26.194",1,17,1,"1.929","29.437",1,23,1,"8.429","31.841",23,1,"10.357","61.279"
"B1013",1,21,1,"2.357","-0.700",1,1,19,"0.036","0.058",1,16,1,"1.143","0.941",1,6,1,"0.357","-8.237",1,11,1,"1.179","-41.780",1,1,2,"0.036",1,1,2,"0.071","-7.248",1,20,1,"3.536",1,20,1,"3.464","-6.214",1,17,1,"1.500",1,14,1,"1.536","-36.257",1,5,1,"0.286","-24.999",1,22,1,"4.786","-24.720",22,1,"5.071","-49.718"
